"","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","home_win_prob","visitor_win_prob","tie_prob"
"198",2023-11-03,"Yale",1,"Cornell",6,0,1767.66282412004,1771.87176820037,1841.14673269892,1712.42963247775,0.565898870534577,0.351150323302762,0.082950806162661
"199",2023-11-03,"Brown",2,"Colgate",4,0,1872.94899519653,1477.03420590261,1881.9087063262,1472.14228057871,0.921503432479201,0.042858451677375,0.0356381158434238
"200",2023-11-03,"St. Lawrence",4,"Rensselaer",1,0,1508.31934755753,1852.39930599711,1487.3415882686,1881.13991653726,0.15142034833332,0.792546324926166,0.0560333267405137
"201",2023-11-03,"Dartmouth",2,"Quinnipiac",3,0,1779.29016341212,1344.56122107985,1784.03521668213,1342.18985356512,0.93448954509038,0.0327392245793228,0.0327712303302975
"202",2023-11-03,"Harvard",1,"Princeton",1,1,1576.43432932745,1241.88555241948,1540.84430528902,1281.13580130587,0.895444711538061,0.0638861234846429,0.0406691649772962
"203",2023-11-03,"Wisconsin",4,"St. Cloud State",2,0,1786.12719268669,1991.26014616285,1753.04258310535,2032.89750325898,0.289856252318581,0.635212612841554,0.074931134839865
"204",2023-11-03,"St. Thomas",1,"Minnesota-Duluth",3,0,1794.88538156499,1454.45253984265,1806.49632237013,1447.42536862876,0.898275850002252,0.0615654692086246,0.0401586807891233
"205",2023-11-03,"Ohio State",9,"Bemidji State",1,0,1193.4449070212,2023.12233723677,1192.78005997892,2027.6667062891,0.00336528639960058,0.97699756125232,0.0196371523480792
"206",2023-11-03,"Minnesota State",1,"Minnesota",3,0,1891.911575357,1452.31546411022,1899.22192591591,1448.70647406881,0.935953579535835,0.0316185785866496,0.0324278418775157
"207",2023-11-03,"Assumption",1,"Long Island",3,0,1613.50592769059,1154.63138979688,1620.19178044054,1151.49551528698,0.94142484236089,0.0274735849896318,0.0311015726494783
"208",2023-11-03,"Saint Anselm",3,"Post",1,0,1179.03657758716,1365.16313131595,1143.32346842065,1409.77154246261,0.312884695108733,0.609183029799194,0.077932275092073
"209",2023-11-03,"Saint Michael's",1,"Stonehill",6,0,1416.69784162531,1048.50515560484,1431.82327612075,1039.78386720729,0.910647537330174,0.0515204106176227,0.0378320520522028
"210",2023-11-03,"Franklin Pierce",1,"Sacred Heart",5,0,1126.01155487232,1348.82928332115,1239.90806687487,1246.19057121526,0.269195565156564,0.658570000738231,0.0722344341052053
"211",2023-11-03,"Penn State",4,"Lindenwood",2,0,1403.39351373516,1564.33280372685,1364.06699531871,1613.02792324573,0.344541990646854,0.57337913221419,0.0820788771389566
"212",2023-11-03,"Mercyhurst",3,"RIT",1,0,1474.98502415259,1474.10252329642,1409.5480917092,1548.90914944896,0.573296896692389,0.344614653775474,0.0820884495321376
"213",2023-11-03,"Syracuse",2,"Robert Morris",4,0,1419.79605881436,1222.47438167709,1442.13695542358,1206.3526951266,0.804270062529781,0.141243064485678,0.0544868729845406
"214",2023-11-04,"Wisconsin",5,"St. Cloud State",2,0,1753.04258310535,2032.89750325898,1724.17952630153,2070.64596535442,0.208337509025847,0.727526414961005,0.0641360760131479
"215",2023-11-04,"Minnesota",2,"Minnesota State",1,0,1448.70647406881,1899.22192591591,1442.65128132086,1908.51419613997,0.0835983094205934,0.871710428759948,0.0446912618194589
"216",2023-11-04,"Ohio State",5,"Bemidji State",0,0,1192.78005997892,2027.6667062891,1192.25659197846,2031.47655202333,0.00309235116413825,0.97749359868982,0.0194140501460421
"217",2023-11-04,"St. Thomas",0,"Minnesota-Duluth",4,0,1806.49632237013,1447.42536862876,1821.02847143313,1438.9062453475,0.906756064814251,0.0546620169965064,0.0385819181892424
"218",2023-11-04,"Saint Anselm",3,"Post",0,0,1143.32346842065,1409.77154246261,1112.5953846884,1449.63772492637,0.22179952960027,0.71224041842405,0.0659600519756805
"219",2023-11-04,"Saint Michael's",5,"Stonehill",6,1,1431.82327612075,1039.78386720729,1437.61277824366,1036.59737436034,0.92006982931712,0.0439928877698338,0.0359372829130465
"220",2023-11-04,"Assumption",0,"Long Island",3,0,1620.19178044054,1151.49551528698,1627.94708154395,1147.95823034579,0.944021171263633,0.0255326086343399,0.0304462201020271
"221",2023-11-04,"Franklin Pierce",1,"Sacred Heart",2,0,1239.90806687487,1246.19057121526,1271.5701225569,1220.56241752804,0.562871994670399,0.353823637166215,0.0833043681633859
"222",2023-11-04,"Dartmouth",2,"Princeton",5,0,1540.84430528902,1342.18985356512,1567.80155345455,1322.75995862857,0.805418879532725,0.140247650802505,0.0543334696647695
"223",2023-11-04,"St. Lawrence",6,"Union",1,0,1390.11503406036,1881.13991653726,1379.05953884585,1899.13207439463,0.065309576643762,0.893712566486294,0.0409778568699444
"224",2023-11-04,"Harvard",1,"Quinnipiac",7,0,1784.03521668213,1281.13580130587,1792.66031629909,1277.60578139461,0.952149062572748,0.0195840940269968,0.028266843400255
"225",2023-11-04,"Clarkson",5,"Rensselaer",1,0,1487.3415882686,1915.00933110741,1472.44221727707,1937.2220061143,0.0956001742770394,0.857474815344596,0.0469250103783649
"226",2023-11-04,"Yale",0,"Colgate",4,0,1881.9087063262,1712.42963247775,1916.35806831334,1686.98632068384,0.778959459995011,0.163254210064653,0.0577863299403353
"227",2023-11-04,"Brown",1,"Cornell",5,0,1841.14673269892,1472.14228057871,1855.01965703437,1464.15522078343,0.910985907730251,0.0512480901928117,0.0377660020769369
"228",2023-11-04,"Syracuse",2,"Robert Morris",3,0,1442.13695542358,1206.3526951266,1454.07433454403,1198.05285943672,0.835191916273889,0.114587967885518,0.0502201158405936
"229",2023-11-04,"Mercyhurst",2,"RIT",3,1,1409.5480917092,1548.90914944896,1454.99923022405,1509.67195716612,0.37249919214093,0.541710739491276,0.0857900683677936
"230",2023-11-04,"Penn State",8,"Lindenwood",2,0,1364.06699531871,1613.02792324573,1320.77951851119,1668.6465472743,0.240153324145758,0.69143506552099,0.0684116103332522
"231",2023-11-04,"Maine",2,"Boston College",4,0,1607.0242457582,1533.20499474446,1644.38842632375,1503.89946020377,0.672650169165324,0.256747548834566,0.0706022820001105
"232",2023-11-04,"Merrimack",3,"Boston University",4,1,1555.66620500243,1413.65045818259,1573.66544562679,1400.08578361076,0.751501537658015,0.187274610280476,0.0612238520615088
"233",2023-11-04,"Northeastern",0,"Connecticut",1,0,1733.69893186242,1623.57725494575,1754.23435063562,1607.78291068883,0.71648692879939,0.218057547174212,0.0654555240263981
"234",2023-11-04,"Providence",1,"New Hampshire",0,0,1580.12254885154,1407.33982468798,1523.47386289086,1468.14503813842,0.78209473658995,0.160520026363564,0.057385237046486
"235",2023-11-08,"St. Lawrence",3,"Clarkson",6,0,1937.2220061143,1899.13207439463,1989.08104475123,1857.80631376017,0.625674335066839,0.298295017319236,0.0760306476139251
"236",2023-11-08,"Post",1,"Quinnipiac",12,0,1792.66031629909,1112.5953846884,1797.43375081463,1111.98188992379,0.977974485340203,0.00283077894703248,0.0191947357127648
"237",2023-11-09,"Minnesota State",1,"St. Thomas",4,0,1438.9062453475,1442.65128132086,1498.95290338963,1394.08568662331,0.566574973439126,0.35055313414711,0.082871892413764
"238",2023-11-10,"Connecticut",1,"Maine",0,0,1503.89946020377,1754.23435063562,1486.6114375332,1776.46339278081,0.238679349880758,0.693104675486041,0.0682159746332006
"239",2023-11-10,"Boston College",6,"Vermont",3,0,1728.30686544043,1644.38842632375,1633.37139095575,1748.90172665952,0.685257296438066,0.24560864083037,0.0691340627315643
"240",2023-11-10,"New Hampshire",4,"Boston University",2,0,1573.66544562679,1523.47386289086,1500.38868603044,1605.21426147918,0.641982093408893,0.283867456873396,0.0741504497177111
"241",2023-11-10,"Holy Cross",2,"Merrimack",2,1,1400.08578361076,1470.75734109026,1403.1521987536,1476.23962316278,0.465928720635107,0.439085754749787,0.0949855246151052
"242",2023-11-10,"Providence",1,"Northeastern",6,0,1607.78291068883,1468.14503813842,1650.27063826754,1436.07305907373,0.749006675243177,0.189463007689981,0.0615303170668419
"243",2023-11-10,"Stonehill",1,"Sacred Heart",0,0,1271.5701225569,1437.61277824366,1247.08563598809,1467.98039408528,0.338034108802979,0.580743099160253,0.081222792036768
"244",2023-11-10,"Saint Anselm",2,"Long Island",4,0,1627.94708154395,1449.63772492637,1652.22956281153,1431.82935682753,0.787259722684267,0.156020182869299,0.056720094446434
"245",2023-11-10,"Saint Michael's",1,"Assumption",5,0,1147.95823034579,1036.59737436034,1191.92227887435,1002.8082292029,0.717909520902373,0.216804331374733,0.0652861477228939
"246",2023-11-10,"Post",0,"Franklin Pierce",6,0,1220.56241752804,1111.98188992379,1271.98561697635,1072.39507755811,0.714710738613098,0.219622516327881,0.0656667450590209
"247",2023-11-10,"Mercyhurst",3,"Princeton",4,0,1567.80155345455,1509.67195716612,1592.97433672947,1489.78239799646,0.652463230686443,0.274596299559085,0.0729404697544724
"248",2023-11-10,"Cornell",5,"Harvard",1,0,1277.60578139461,1855.01965703437,1271.84166164578,1866.08606401544,0.036984840021406,0.928993617474703,0.0340215425038907
"249",2023-11-10,"Rensselaer",2,"Brown",3,0,1464.15522078343,1472.44221727707,1496.02975395224,1446.62643658259,0.55993851931731,0.356414025492631,0.083647455190059
"250",2023-11-10,"Colgate",8,"Dartmouth",1,0,1322.75995862857,1916.35806831334,1316.50485951157,1928.83935717077,0.0330040501516667,0.93414443549126,0.0328515143570734
"251",2023-11-10,"Union",2,"Yale",3,1,1686.98632068384,1379.05953884585,1695.55844251808,1373.60615340586,0.881652835290457,0.0752897260877546,0.0430574386217881
"252",2023-11-11,"Connecticut",3,"Maine",1,0,1486.6114375332,1776.46339278081,1463.93713860455,1806.30653775603,0.198650895222169,0.738542413848136,0.0628066909296952
"253",2023-11-11,"Boston College",2,"Vermont",3,0,1633.37139095575,1748.90172665952,1676.53993260606,1712.25675821748,0.404012844456679,0.505922360863086,0.0900647946802346
