"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"69",69,2023-10-07,"Clarkson",2,"Vermont",2,1,"Non-Conference",0.227088314537449,0.772911685462552,1562.52575803162,1790.29979258305,1587.08780972325,1765.73774089142,1,227.774034551426
"70",70,2023-10-07,"Minnesota State",7,"Sacred Heart",1,0,"Non-Conference",0.25721850028492,0.74278149971508,1354.60959814267,1553.83314877795,1319.11344510335,1589.32930181727,0,199.223550635277
"71",71,2023-10-07,"Boston University",0,"Northeastern",2,0,"Hockey East",0.907904961404572,0.0920950385954277,1812.53191377771,1430.01025171616,1822.29398786882,1420.24817762505,0,382.521662061545
"72",72,2023-10-08,"Saint Anselm",4,"Robert Morris",6,0,"Non-Conference",0.798540535068853,0.201459464931147,1494.00186036617,1269.75814424548,1515.35656364887,1248.40344096277,0,224.24371612069
"73",73,2023-10-10,"Assumption",2,"Dartmouth",3,0,"Non-Conference",0.628140924842632,0.371859075157368,1420.45463261255,1344.38315069812,1456.89682197797,1307.94096133269,0,76.0714819144339
"74",74,2023-10-12,"Minnesota State",0,"Wisconsin",6,0,"WCHA",0.855598426417115,0.144401573582885,1883.40852232905,1589.32930181727,1903.33593948349,1569.40188466283,0,294.079220511783
"75",75,2023-10-13,"Connecticut",3,"Boston College",4,1,"Hockey East",0.386731302968885,0.613268697031115,1485.71898671581,1580.81557523214,1545.81931902486,1520.71524292309,0,95.0965885163273
"76",76,2023-10-13,"New Hampshire",3,"Maine",2,0,"Hockey East",0.510852480284385,0.489147519715615,1474.99904750974,1482.45678727733,1424.93550444187,1532.5203303452,0,7.45773976759051
"77",77,2023-10-13,"Northeastern",0,"Merrimack",1,0,"Hockey East",0.150236583269198,0.849763416730802,1506.28505501786,1822.29398786882,1589.56186985748,1739.0171730292,0,316.008932850962
"78",78,2023-10-13,"Long Island",3,"Sacred Heart",1,0,"NEWHA",0.398974562395564,0.601025437604436,1319.11344510335,1405.29250361254,1276.82214148942,1447.58380722647,0,86.1790585091865
"79",79,2023-10-13,"Post",3,"Stonehill",2,0,"NEWHA",0.619726836459196,0.380273163540804,1201.34864836893,1131.50679819129,1140.61541839593,1192.24002816429,0,69.8418501776359
"80",80,2023-10-13,"Franklin Pierce",1,"Saint Michael's",0,0,"NEWHA",0.28886035949232,0.71113964050768,1174.93659797374,1346.44337415651,1146.62828274349,1374.75168938676,0,171.506776182772
"81",81,2023-10-13,"Assumption",3,"Saint Anselm",3,1,"NEWHA",0.436254141834568,0.563745858165432,1248.40344096277,1307.94096133269,1254.14056819766,1302.20383409781,1,59.5375203699198
"82",82,2023-10-13,"Union",1,"RIT",4,0,"Non-Conference",0.493006257625946,0.506993742374054,1395.00795920031,1414.86802612722,1452.80524583095,1357.07073949658,0,19.8600669269122
"83",83,2023-10-13,"St. Lawrence",2,"Vermont",6,0,"Non-Conference",0.303520997043157,0.696479002956843,1587.08780972325,1746.37552489502,1672.05824808399,1661.40508653428,0,159.287715171764
"84",84,2023-10-13,"Providence",1,"Quinnipiac",4,0,"Non-Conference",0.792204925286728,0.207795074713272,1748.69032197468,1531.20940647913,1772.37896049199,1507.52076796181,0,217.480915495555
"85",85,2023-10-13,"Robert Morris",2,"Princeton",6,0,"Non-Conference",0.590603536837566,0.409396463162434,1564.01734645208,1515.35656364887,1613.9637149579,1465.41019514305,0,48.6607828032168
"86",86,2023-10-13,"Mercyhurst",0,"Colgate",7,0,"Non-Conference",0.868142064306538,0.131857935693462,1797.07527289321,1484.68146194817,1816.32653150445,1465.43020333692,0,312.393810945042
"87",87,2023-10-13,"Penn State",1,"Cornell",4,0,"Non-Conference",0.529549864077977,0.470450135922023,1550.39898449458,1544.84167947193,1604.03029998969,1491.21036397682,0,5.55730502264146
